model,fit_time,score_time,test_accuracy,train_accuracy,test_f1,train_f1,test_recalls,train_recalls,test_precision,train_precision,test_roc_auc,train_roc_auc
RF,6.534281444549561,0.21060290336608886,0.6201588074735092,0.9749276512979137,0.2076537162671491,0.9263478985417765,0.32212885154061627,0.8815549663757836,0.3025627507912467,0.9771479962760028,0.47753326390362305,0.9974060203254925
SVC,35.85005941390991,24.641265964508058,0.8191175524533365,0.8191170501822423,0.0,0.0,0.0,0.0,0.0,0.0,0.48266134605797806,0.6410846141127438
NB,1.3053412437438965,0.29361667633056643,0.4046254514708991,0.7415338671149101,0.2373480923060755,0.5215069661708491,0.5541736694677871,0.7748705072603725,0.15157787297925707,0.39435964323717215,0.4886796504858146,0.803910300300038
LR,3.2775184154510497,0.2267232894897461,0.6556322430636609,0.8295091425451702,0.14701458829710648,0.27206267143611595,0.20464985994397758,0.17771846961529683,0.20855251424441254,0.5962852724841545,0.49531450161571877,0.7888849035159887
KNN,0.3880919933319092,1.6138274669647217,0.7671880600306954,0.8222236382915085,0.06902654867256638,0.036048758566453204,0.09285714285714286,0.018934911242603554,0.054929577464788736,0.5,0.4855921100823143,0.7727623409934292
